syndra_id,id_type,id_value,source,license
SYN0000324,BRD,BRD-A66419424,lincs_2020,custom_non_commercial
SYN0000325,BRD,BRD-K72541103,lincs_2020,custom_non_commercial
SYN0000326,BRD,BRD-K95676198,lincs_2020,custom_non_commercial
SYN0000327,BRD,BRD-K04546108,lincs_2020,custom_non_commercial
SYN0000328,BRD,BRD-K62586643,lincs_2020,custom_non_commercial
SYN0000329,BRD,BRD-K71671265,lincs_2020,custom_non_commercial
SYN0000330,BRD,BRD-K29198371,lincs_2020,custom_non_commercial
SYN0000331,BRD,BRD-K17915279,lincs_2020,custom_non_commercial
SYN0000332,BRD,BRD-K44929916,lincs_2020,custom_non_commercial
SYN0000333,BRD,BRD-K57285282,lincs_2020,custom_non_commercial
SYN0000334,BRD,BRD-K33086940,lincs_2020,custom_non_commercial
SYN0000335,BRD,BRD-K99494806,lincs_2020,custom_non_commercial
SYN0000336,BRD,BRD-K62493605,lincs_2020,custom_non_commercial
SYN0000337,BRD,BRD-K54503842,lincs_2020,custom_non_commercial
SYN0000338,BRD,BRD-K14191038,lincs_2020,custom_non_commercial
SYN0000339,BRD,BRD-K17588104,lincs_2020,custom_non_commercial
SYN0000340,BRD,BRD-K54606188,lincs_2020,custom_non_commercial
SYN0000341,BRD,BRD-K82681249,lincs_2020,custom_non_commercial
SYN0000342,BRD,BRD-K14482023,lincs_2020,custom_non_commercial
SYN0000343,BRD,BRD-A76490030,lincs_2020,custom_non_commercial
SYN0000344,BRD,BRD-A39093044,lincs_2020,custom_non_commercial
SYN0000345,BRD,BRD-A72180425,lincs_2020,custom_non_commercial
SYN0000346,BRD,BRD-A59193861,lincs_2020,custom_non_commercial
SYN0000347,BRD,BRD-A80386041,lincs_2020,custom_non_commercial
SYN0000348,BRD,BRD-A86990971,lincs_2020,custom_non_commercial
SYN0000349,BRD,BRD-K87483782,lincs_2020,custom_non_commercial
SYN0000350,BRD,BRD-K88863622,lincs_2020,custom_non_commercial
SYN0000351,BRD,BRD-K33495169,lincs_2020,custom_non_commercial
SYN0000352,BRD,BRD-K80184735,lincs_2020,custom_non_commercial
SYN0000353,BRD,BRD-K85853911,lincs_2020,custom_non_commercial
SYN0000354,BRD,BRD-K40083016,lincs_2020,custom_non_commercial
SYN0000355,BRD,BRD-K64302725,lincs_2020,custom_non_commercial
SYN0000356,BRD,BRD-A34037822,lincs_2020,custom_non_commercial
SYN0000357,BRD,BRD-K16604218,lincs_2020,custom_non_commercial
SYN0000358,BRD,BRD-K73037408,lincs_2020,custom_non_commercial
SYN0000359,BRD,BRD-A04020513,lincs_2020,custom_non_commercial
SYN0000360,BRD,BRD-K09635134,lincs_2020,custom_non_commercial
SYN0000361,BRD,BRD-K33141550,lincs_2020,custom_non_commercial
SYN0000362,BRD,BRD-K99667445,lincs_2020,custom_non_commercial
SYN0000363,BRD,BRD-K26011976,lincs_2020,custom_non_commercial
SYN0000364,BRD,BRD-A68039575,lincs_2020,custom_non_commercial
SYN0000365,BRD,BRD-K20986251,lincs_2020,custom_non_commercial
SYN0000366,BRD,BRD-K04497194,lincs_2020,custom_non_commercial
SYN0000367,BRD,BRD-K69236721,lincs_2020,custom_non_commercial
SYN0000368,BRD,BRD-K80672993,lincs_2020,custom_non_commercial
SYN0000369,BRD,BRD-K76274772,lincs_2020,custom_non_commercial
SYN0000370,BRD,BRD-K99615199,lincs_2020,custom_non_commercial
SYN0000371,BRD,BRD-K82216340,lincs_2020,custom_non_commercial
SYN0000372,BRD,BRD-K12244279,lincs_2020,custom_non_commercial
SYN0000373,BRD,BRD-K88741031,lincs_2020,custom_non_commercial
SYN0000374,BRD,BRD-K31477169,lincs_2020,custom_non_commercial
SYN0000375,BRD,BRD-K34685430,lincs_2020,custom_non_commercial
SYN0000376,BRD,BRD-A63667919,lincs_2020,custom_non_commercial
SYN0000377,BRD,BRD-K63151507,lincs_2020,custom_non_commercial
SYN0000378,BRD,BRD-K63750851,lincs_2020,custom_non_commercial
SYN0000378,BRD,BRD-K31542390,lincs_2020,custom_non_commercial
SYN0000379,BRD,BRD-K61217870,lincs_2020,custom_non_commercial
